Hubs,Auth
123172,91637
123172,65110
123172,566
123172,13064
123172,20462
123172,146742
123172,14599
123172,93084
123172,44412
123172,15653
123172,29190
123172,88870
123172,33750
123172,21060
123172,133542
123172,120278
123172,13726
123172,2079
123172,86634
123172,16941
123172,162895
123172,99322
123172,138288
123172,76739
123172,4709
123172,84067
123172,68919
123172,111286
123172,78087
123172,129490
123172,25491
123172,110853
123172,121795
123172,133947
123172,83312
123172,51125
123172,134334
123172,129718
123172,49922
123172,40175
123172,82883
123172,147469
123172,70445
123172,59089
123172,75506
123172,115071
123172,78317
123172,46947
123172,119997
123172,21659
123172,54733
123172,84147
123172,99656
123172,33694
123172,158204
123172,1253
123172,131895
123172,103983
123172,32506
123172,1905
123172,144841
123172,130112
123172,47762
123172,86519
123172,23444
123172,166257
123172,44658
123172,105585
123172,22802
123172,97569
123172,9355
123172,284
123172,162193
123172,100114
123172,123229
123172,107324
123172,153944
123172,74782
123172,16904
123172,158031
123172,92213
123172,128967
123172,116669
123172,99770
123172,148812
123172,67235
123172,115018
123172,146240
123172,13056
123172,118503
123172,51980
123172,160760
123172,60434
123172,133216
123172,124522
123172,107561
123172,22885
123172,104384
123172,64282
123172,43113
123172,75717
123172,147218
123172,159889
123172,24398
123172,29345
123172,158363
123172,11394
123172,13328
123172,36736
123172,32083
123172,162216
123172,112516
123172,161604
123172,6162
123172,94943
123172,147519
123172,73863
123172,61316
123172,112865
123172,104231
123172,163873
123172,57223
123172,84986
123172,77597
123172,116587
123172,21373
123172,121730
123172,7078
123172,162366
123172,42927
123172,31798
123172,80268
123172,148775
123172,21089
123172,139628
123172,107141
123172,9311
123172,140911
123172,67527
123172,15543
123172,73052
123172,72027
123172,139023
123172,3935
123172,150906
123172,119728
123172,148412
123172,151236
123172,122740
123172,90132
123172,29872
123172,144356
123172,112234
123172,7280
123172,160329
123172,67533
123172,117984
123172,44138
123172,111023
123172,74926
123172,18276
123172,64445
123172,56153
120978,166769
120978,15070
120978,101755
120978,15696
120978,17485
120978,64936
120978,113406
120978,105847
120978,146742
120978,88133
120978,10075
120978,44412
120978,47651
120978,164709
120978,10852
120978,66171
120978,8492
120978,85622
120978,85566
120978,96653
120978,49277
120978,46688
120978,77507
120978,13726
120978,19538
120978,133403
120978,6770
120978,120252
120978,15792
120978,55567
120978,62286
120978,59537
120978,77701
120978,100440
120978,164322
120978,97408
120978,57085
120978,77556
120978,67246
120978,74303
120978,4709
120978,77533
120978,36838
120978,20258
120978,115269
120978,6709
120978,26968
120978,12357
120978,69609
120978,62320
120978,148385
120978,36630
120978,87181
120978,83312
120978,16846
120978,134334
120978,58434
120978,95748
120978,153989
120978,41452
120978,15460
120978,63509
120978,57109
120978,105510
120978,33736
120978,72864
120978,53790
120978,30676
120978,137103
120978,66101
120978,162384
120978,140479
120978,117094
120978,48347
120978,128151
120978,150178
120978,33305
120978,106512
120978,147971
120978,44505
120978,93149
120978,156552
120978,132579
120978,92630
120978,160096
120978,102473
120978,20773
120978,111258
120978,16748
120978,77935
120978,125198
120978,60645
120978,98029
120978,25086
120978,140488
120978,9094
120978,167843
120978,113629
120978,107585
120978,58546
120978,31894
120978,14225
120978,84034
120978,102462
120978,51980
120978,603
120978,69426
120978,106234
120978,49420
120978,133645
120978,39564
120978,77597
120978,64186
120978,7222
120978,108841
120978,93868
120978,28885
120978,127085
120978,126277
120978,138566
120978,131935
120978,49923
120978,64043
120978,70571
120978,144356
120978,86405
120978,90089
120978,966
120978,25967
120978,6161
120978,7205
120978,47271
120978,149247
120978,120587
120978,31863
120978,23150
120978,16462
120978,168069
120978,120997
120978,117061
120978,129826
120978,23749
120978,44185
120978,97569
120978,142828
120978,92046
120978,93160
120978,83149
120978,84410
120978,139409
120978,113088
120978,2031
120978,51021
120978,5024
